Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
004F5D       1    No     000024FB-00002500        6
00503B       1    No     00002501-00002506        6
0050DF       1    No     00002507-0000250C        6
0051FE       1    No     0000250D-00002512        6
00531A       D    No     00002513-00002524       12
005335       3    No     00002525-0000252C        8
00535E       1    No     0000252D-00002532        6
0053B6       1    No     00002533-00002538        6
0053BF       1    No     00002539-0000253E        6
0053C9       1    No     0000253F-00002544        6
0053D3       1    No     00002545-0000254A        6
0053E3       1    No     0000254B-00002550        6
0053F2       1    No     00002551-00002556        6
005401       1    No     00002557-0000255C        6
00540A       1    No     0000255D-00002562        6
0054CD       1    No     00002563-00002568        6
0054D6       2    No     00002569-0000256F        7
0054F2       1    No     00002570-00002575        6
0054FC       6    No     00002576-00002580        B
00550B       1    No     00002581-00002586        6
00557A       1    No     00002587-0000258C        6
0055A5       1    No     0000258D-00002592        6
005607       1    No     00002593-00002598        6
005626       1    No     00002599-0000259E        6
005666       4    No     0000259F-000025A7        9
0056AF       1    No     000025A8-000025AD        6
0056BE       2    No     000025AE-000025B4        7
0056D3       1    No     000025B5-000025BA        6
0056EE       D    No     000025BB-000025CC       12
005707       1    No     000025CD-000025D2        6
00574B       2    No     000025D3-000025D9        7
005774       1    No     000025DA-000025DF        6
00577E       1    No     000025E0-000025E5        6
005799       7    No     000025E6-000025F1        C
0057AB       1    No     000025F2-000025F7        6
0057D1       1    No     000025F8-000025FD        6
0057DF       9    No     000025FE-0000260B        E
0057F2       3    No     0000260C-00002613        8
005838       1    No     00002614-00002619        6
00584C       2    No     0000261A-00002620        7
005874       1    No     00002621-00002626        6
005891       1    No     00002627-0000262C        6
00589D       2    No     0000262D-00002633        7
0058B0       5    No     00002634-0000263D        A
0058D4       1    No     0000263E-00002643        6
0058DF       1    No     00002644-00002649        6
005904       1    No     0000264A-0000264F        6
005919       1    No     00002650-00002655        6
00592E       1    No     00002656-0000265B        6
005943       1    No     0000265C-00002661        6
005967       2    No     00002662-00002668        7
005983       1    No     00002669-0000266E        6
00598F       1    No     0000266F-00002674        6
0059BB       C    No     00002675-00002685       11
0059D5       1    No     00002686-0000268B        6
0059DC       1    No     0000268C-00002691        6
0059E4       1    No     00002692-00002697        6
0059ED       7    No     00002698-000026A3        C
005A0A       7    No     000026A4-000026AF        C
005A1B       2    No     000026B0-000026B6        7
005A70       1    No     000026B7-000026BC        6
005AAD       5    No     000026BD-000026C6        A
005B05       7    No     000026C7-000026D2        C
005B23       7    No     000026D3-000026DE        C
005B65       1    No     000026DF-000026E4        6
005B85       1    No     000026E5-000026EA        6
005B8F       2    No     000026EB-000026F1        7
005BD2       1    No     000026F2-000026F7        6
005BDF       2    No     000026F8-000026FE        7
005C17       B    No     000026FF-0000270E       10
005C2D       1    No     0000270F-00002714        6
005C53       1    No     00002715-0000271A        6
005C67       1    No     0000271B-00002720        6
005CA8       4    No     00002721-00002729        9
005CDB       5    No     0000272A-00002733        A
005D03       7    No     00002734-0000273F        C
005D1B       2    No     00002740-00002746        7
005D32       1    No     00002747-0000274C        6
005D3B       2    No     0000274D-00002753        7
005D5D       2    No     00002754-0000275A        7
005D6F       7    No     0000275B-00002766        C
005DED       2    No     00002767-0000276D        7
005DFD       4    No     0000276E-00002776        9
005E2D       2    No     00002777-0000277D        7
005E36       1    No     0000277E-00002783        6
005E40       1    No     00002784-00002789        6
005E49       1    No     0000278A-0000278F        6
005E53       1    No     00002790-00002795        6
005E5C       1    No     00002796-0000279B        6
005E68       1    No     0000279C-000027A1        6
005EED       B    No     000027A2-000027B1       10
005F15       1    No     000027B2-000027B7        6
005F1C       1    No     000027B8-000027BD        6
005F7B       1    No     000027BE-000027C3        6
00605A       1    No     000027C4-000027C9        6
0060DE       1    No     000027CA-000027CF        6
0060E8       1    No     000027D0-000027D5        6
006118       1    No     000027D6-000027DB        6
006120       7    No     000027DC-000027E7        C
00612E       1    No     000027E8-000027ED        6
00613E       1    No     000027EE-000027F3        6
00614C       8    No     000027F4-00002800        D
006164       8    No     00002801-0000280D        D
